,Word,Freq
0,analyzing,1
1,increasingly,1
2,models,1
3,monitoring,2
4,number,4
5,potential,3
6,providing,2
7,requirements,2
8,analysis,2
9,lack,1
10,performing,1
11,communication,1
12,decision,2
13,management,1
14,network,1
15,elsevier,1
16,actors,1
17,complex,2
18,information,1
19,making,2
20,open,2
21,project,1
22,integration,1
23,level,1
24,support,1
25,objectives,3
26,components,1
27,tools,1
