,Word,Freq
0,called,1
1,design,1
2,integration,1
3,models,1
4,services,1
5,include,1
6,analysis,3
7,mapping,2
8,performing,2
9,research,6
10,systematic,1
11,activities,1
12,collaboration,1
13,digital,5
14,practical,2
15,business,3
